A;Membuat cerita pendek berbahasa Inggris/Jawa/Jepang.;5
B;Menyusun artikel tentang pengembangan diri/sekolah.;5
C;Membuat resume sebuah buku.;5
D;Berhasil meraih juara pertama pada perlombaan tingkat provinsi.;25
E;Kompensasi fisik (Olahraga, Bersih-bersih) selama tiga hari.;5
F;Membuat hasta karya yang bermanfaat bagi dirinya dan sekolah.;10
G;Membuat karya teknologi tepat guna.;15
H;Mengadaan penelitian dan menyusun laporan.;15
I;Mengelola sampah organik menjadi pupuk kompos.;25
J;Berhasil menjadi juara pertama pada perlombaan tingkat kabupaten.;15
K;Melakukan kunjungan ke tempat bersejarah dan membuat laporan.;10
L;Membuat software yang dimanfaatkan bagi dirinya dan sekolah.;25
M;Mengikuti kegiatan di pondok pesantren selama 30 hari.;30
